Symbol,Sector,MFI,RSC,Signal,Score,Reasons,Volatility,Return_3M,Sharpe_3M,Trend_200d
XLK,Tecnología,65.00854651361757,6.587679841597671,COMPRAR,2,"['MFI alto (65.0)', 'Superior al mercado (+6.6%)']",12.672876401214758,11.898017704241681,0.9388569198939869,✅
XLU,Utilidades,70.26736884681954,-1.7537946949475636,COMPRAR,2,['MFI muy alto (70.3)'],13.48955439826991,6.846937762584582,0.5075733089791854,✅
XLE,Energía,70.0436330714887,-6.637526339000422,OBSERVAR +,1,"['MFI muy alto (70.0)', 'Inferior al mercado (-6.6%)']",19.730140895469482,6.063601267494723,0.30732681026556036,✅
XLY,Consumo Discrecional,53.58302356716628,-0.22551583494544447,NEUTRAL,0,[],14.671367695474483,10.122410978083929,0.6899432410249168,✅
TLT,Bonos Largo Plazo,56.6672448828197,-7.742451459967725,NEUTRAL,0,"['MFI alto (56.7)', 'Inferior al mercado (-7.7%)']",11.378686601403725,2.5275656049492,0.2221315775264773,✅
XLF,Financiero,49.824874164557116,-3.2801936696564837,OBSERVAR -,-1,['Inferior al mercado (-3.3%)'],11.626517191077358,2.707481222212693,0.2328712182432861,✅
LQD,Bonos Corporativos,39.22786861160335,-6.082724928763039,VENDER,-2,"['MFI bajo (39.2)', 'Inferior al mercado (-6.1%)']",5.479831529859072,2.8436471792731455,0.5189296721584208,✅
XLB,Materiales,42.887122541808985,-8.884770094927742,VENDER,-2,"['MFI bajo (42.9)', 'Inferior al mercado (-8.9%)']",13.988960781140017,-0.7356440193341918,-0.05258746742116759,✅
XLV,Salud,41.71445971713587,-12.44657308878815,VENDER,-3,"['MFI bajo (41.7)', 'Muy inferior al mercado (-12.4%)']",11.942318781844614,-0.4244705470789256,-0.035543394447335445,❌
