Symbol,Sector,MFI,RSC,Signal,Score,Reasons,Volatility,Return_3M,Sharpe_3M,Trend_200d
XLK,Tecnología,63.413311134122374,6.632674624805013,COMPRAR,2,"['MFI alto (63.4)', 'Superior al mercado (+6.6%)']",11.637658258368079,10.89859183539954,0.9364935447870613,✅
XLY,Consumo Discrecional,58.107622973569434,-0.9607360271743803,OBSERVAR +,1,['MFI alto (58.1)'],14.919716456655935,8.545277908877601,0.5727506909198271,✅
XLU,Utilidades,68.49494323579546,-2.0702410620389133,OBSERVAR +,1,['MFI alto (68.5)'],13.49130734496774,7.54537486088509,0.5592767748856834,✅
XLE,Energía,61.922912047459626,-7.4263933024900535,NEUTRAL,0,"['MFI alto (61.9)', 'Inferior al mercado (-7.4%)']",19.578319444661897,3.4869282897019627,0.17810151170317567,✅
TLT,Bonos Largo Plazo,55.578565742989746,-7.9559383880634655,NEUTRAL,0,"['MFI alto (55.6)', 'Inferior al mercado (-8.0%)']",10.834073588231632,3.0534678808243454,0.28183931518991473,✅
XLF,Financiero,52.82195640930832,-3.8829982599104307,OBSERVAR -,-1,['Inferior al mercado (-3.9%)'],11.940169868073665,2.2454029844297896,0.18805452596061312,✅
XLB,Materiales,49.09915460805012,-8.80744988838723,OBSERVAR -,-1,['Inferior al mercado (-8.8%)'],13.89523557427594,-2.0090110838897335,-0.14458272932119182,✅
LQD,Bonos Corporativos,38.559908583301684,-6.221357127250893,VENDER,-2,"['MFI bajo (38.6)', 'Inferior al mercado (-6.2%)']",5.249286753865394,2.8209898108205955,0.5374044023682486,✅
XLV,Salud,49.45875926205177,-11.155178544204103,VENDER,-2,['Muy inferior al mercado (-11.2%)'],12.92573562129595,2.1902439129347195,0.1694482988903283,✅
