Symbol,Sector,Score,RSC,Signal,fecha
XLK,Tecnología,2,6.64218836026651,COMPRAR,2025-09-30
XLY,Consumo Discrecional,1,-0.9570807958364957,OBSERVAR +,2025-09-30
XLU,Utilidades,1,-2.066962655152471,OBSERVAR +,2025-09-30
XLE,Energía,0,-7.428066177125103,NEUTRAL,2025-09-30
TLT,Bonos Largo Plazo,0,-7.952436781456185,NEUTRAL,2025-09-30
XLF,Financiero,-1,-3.897039047118278,OBSERVAR -,2025-09-30
XLB,Materiales,-1,-8.804079418679567,OBSERVAR -,2025-09-30
LQD,Bonos Corporativos,-2,-6.217891804114927,VENDER,2025-09-30
XLV,Salud,-2,-11.148728870578783,VENDER,2025-09-30
