name,rows,cols,dup_rows,nulls_by_col.ACWI,nulls_by_col.EEM,nulls_by_col.^GSPC,nulls_by_col.^STOXX50E,extreme_moves_>5sigma.ACWI,extreme_moves_>5sigma.EEM,extreme_moves_>5sigma.^GSPC,extreme_moves_>5sigma.^STOXX50E,nulls_by_col.EURGBP=X,nulls_by_col.EURJPY=X,nulls_by_col.EURUSD=X,extreme_moves_>5sigma.EURGBP=X,extreme_moves_>5sigma.EURJPY=X,extreme_moves_>5sigma.EURUSD=X,nulls_by_col.0P00000F24.F,nulls_by_col.0P00000LRT.F,nulls_by_col.0P000125YU.L,nulls_by_col.0P0001CJGN.F,nulls_by_col.0P0001FAMF.F,nulls_by_col.0P0001K6GO.F,nulls_by_col.DFNS.MI,nulls_by_col.EIMI.L,nulls_by_col.EUN2.DE,nulls_by_col.IE0007472115.IR,nulls_by_col.INRG.MI,extreme_moves_>5sigma.0P00000F24.F,extreme_moves_>5sigma.0P00000LRT.F,extreme_moves_>5sigma.0P000125YU.L,extreme_moves_>5sigma.0P0001CJGN.F,extreme_moves_>5sigma.0P0001FAMF.F,extreme_moves_>5sigma.0P0001K6GO.F,extreme_moves_>5sigma.DFNS.MI,extreme_moves_>5sigma.EIMI.L,extreme_moves_>5sigma.EUN2.DE,extreme_moves_>5sigma.IE0007472115.IR,extreme_moves_>5sigma.INRG.MI
indices_raw,2769,4,0,69.0,69.0,69.0,70.0,11.0,9.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indices_clean,2769,4,0,0.0,0.0,0.0,0.0,12.0,9.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fx_raw,2797,3,0,,,,,,,,,0.0,0.0,1.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
fx_clean,2797,3,0,,,,,,,,,0.0,0.0,0.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
etfs_raw,2766,11,0,,,,,,,,,,,,,,,1233.0,1230.0,114.0,879.0,1043.0,1908.0,2165.0,53.0,35.0,799.0,35.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
etfs_clean,2766,11,1,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,15.0,8.0,18.0,13.0,21.0,7.0,6.0,6.0,7.0
